gene	transcript	chromosome	start_position	end_position
CTNND2	ENST00000304623	5	10971952	11904155
DDX5	ENST00000225792	17	62495734	62504317
ACTN4	ENST00000252699	19	39138289	39222223
UPF2	ENST00000356352	10	11962021	12085169
CARM1	ENST00000327064	19	10982189	11033453
PAXIP1	ENST00000404141	7	154735397	154794794
BPTF	ENST00000306378	17	65821640	65980494
EP300	ENST00000263253	22	41487790	41576081
FBXL19	ENST00000380310	16	30934376	30960104
CREBRF	ENST00000296953	5	172483355	172566291
HDAC2	ENST00000519065	6	114254192	114332472
SP1	ENST00000327443	12	53773960	53810230
MAPK8IP2	ENST00000329492	22	51039114	51052409
AP2A1	ENST00000359032	19	50270225	50310370
ARCN1	ENST00000264028	11	118443105	118473748
SPTAN1	ENST00000372739	9	131314866	131395941
RPTOR	ENST00000306801	17	78518619	78940171
CAND1	ENST00000545606	12	67663061	67713731
COPS2	ENST00000299259	15	49398268	49447858
SALL4	ENST00000217086	20	50400581	50419059
CACNA1C	ENST00000347598	12	2079952	2802108
ARID1B	ENST00000346085	6	157099063	157531913
PSMD2	ENST00000310118	3	184016497	184026842
PSMD3	ENST00000264639	17	38137050	38154213
KMT2D	ENST00000301067	12	49412758	49453557
UBAP2L	ENST00000428931	1	154192655	154243986
ZNF148	ENST00000360647	3	124944405	125094198
BTK	ENST00000308731	X	100604435	100641183
RRM1	ENST00000300738	11	4115937	4160106
PPP2R5E	ENST00000337537	14	63838075	64010092
RFX3	ENST00000382004	9	3218297	3526004
BIRC6	ENST00000421745	2	32582096	32843966
LMNB2	ENST00000325327	19	2427636	2456994
CLTC	ENST00000269122	17	57697219	57773671
COPA	ENST00000368069	1	160259063	160313190
COL1A1	ENST00000225964	17	48260650	48278993
DHX15	ENST00000336812	4	24519064	24586173
DHX9	ENST00000367549	1	182808504	182856886
MAP2	ENST00000360351	2	210288782	210598842
ZMYM3	ENST00000353904	X	70459474	70474996
AGO2	ENST00000220592	8	141541264	141645718
ANK2	ENST00000357077	4	113739265	114304896
RALGAPB	ENST00000262879	20	37101459	37207504
IPO7	ENST00000379719	11	9406169	9469673
PRPF19	ENST00000227524	11	60658202	60674060
SCAF4	ENST00000286835	21	33043346	33104388
TBL1XR1	ENST00000430069	3	176737143	176915261
ZCCHC11	ENST00000257177	1	52873954	53019159
ZCCHC6	ENST00000375963	9	88902648	88969369
ANKRD11	ENST00000301030	16	89334038	89556969
PAFAH1B1	ENST00000397195	17	2496504	2588909
ZEB2	ENST00000558170	2	145141648	145282147
AP2A2	ENST00000448903	11	924894	1012239
SMU1	ENST00000397149	9	33041762	33076665
NAA25	ENST00000261745	12	112464500	112546826
UBA1	ENST00000335972	X	47050260	47074527
BAZ1B	ENST00000339594	7	72854728	72936608
HNRNPH1	ENST00000356731	5	179041179	179061785
VPRBP	ENST00000423656	3	51433298	51534010
CTIF	ENST00000382998	18	46065417	46389588
ABCB7	ENST00000253577	X	74273115	74376567
UTP15	ENST00000296792	5	72861268	72877794
SETBP1	ENST00000282030	18	42260138	42648475
ARID5B	ENST00000279873	10	63661059	63856703
RBM10	ENST00000377604	X	47004268	47046212
TPR	ENST00000367478	1	186280784	186344825
RCOR1	ENST00000262241	14	103058998	103196913
SUFU	ENST00000369902	10	104263744	104393292
TRPS1	ENST00000395715	8	116420724	116821899
MTA1	ENST00000331320	14	105886159	105937066
RUVBL2	ENST00000595090	19	49496705	49519252
EIF4G3	ENST00000602326	1	21132963	21503377
MDM4	ENST00000367182	1	204485511	204542871
NTRK2	ENST00000376214	9	87283466	87638505
ANKHD1	ENST00000297183	5	139781399	139929163
ANKHD1-EIF4EBP3	ENST00000532219	5	139781493	139929154
RORB	ENST00000376896	9	77112281	77308093
TIAL1	ENST00000369093	10	121334199	121356541
NRXN3	ENST00000554719	14	78708734	80330762
PTPRD	ENST00000381196	9	8314246	10612723
WAPAL	ENST00000298767	10	88195013	88281572
RBM26	ENST00000267229	13	79885962	79980612
RIF1	ENST00000243326	2	152266397	152364527
NLK	ENST00000407008	17	26368763	26523407
PHIP	ENST00000275034	6	79645584	79787953
LPHN2	ENST00000319517	1	81771845	82458120
DPYSL5	ENST00000288699	2	27070615	27173219
USP8	ENST00000433963	15	50716577	50793280
TIPARP	ENST00000461166	3	156391024	156424559
ZBTB4	ENST00000311403	17	7362685	7387582
ISY1	ENST00000273541	3	128846258	128880136
HNRNPU	ENST00000283179	1	245014468	245027844
TLK2	ENST00000346027	17	60536019	60692842
TRERF1	ENST00000372922	6	42192669	42419789
DHX30	ENST00000445061	3	47844399	47891685
MYCBP2	ENST00000544440	13	77618792	77901185
FUBP1	ENST00000370768	1	78409740	78444794
TRIM24	ENST00000343526	7	138145079	138274738
ZC3H7A	ENST00000396516	16	11844442	11891123
UBXN7	ENST00000296328	3	196074533	196159345
SLC17A7	ENST00000221485	19	49932658	49945617
NOTCH2	ENST00000256646	1	120454176	120612240
SMARCC1	ENST00000254480	3	47626762	47823596
RAI1	ENST00000353383	17	17584787	17714767
CSE1L	ENST00000262982	20	47662849	47713489
EIF4A1	ENST00000293831	17	7476024	7482323
PIK3CA	ENST00000263967	3	178865902	178957881
KIF5C	ENST00000435030	2	149632819	149883273
REV3L	ENST00000358835	6	111620234	111804918
AGPS	ENST00000264167	2	178257372	178408564
ADAM10	ENST00000260408	15	58887403	59042177
MED1	ENST00000300651	17	37560538	37607539
SMARCC2	ENST00000267064	12	56556767	56583351
MYRF	ENST00000278836	11	61520114	61555990
DOT1L	ENST00000398665	19	2164148	2232577
CHAF1A	ENST00000301280	19	4402659	4445015
PSMD1	ENST00000308696	2	231921578	232037541
SRRM2	ENST00000301740	16	2802330	2822539
PIAS4	ENST00000262971	19	4007644	4039384
ACTR3	ENST00000263238	2	114647537	114720173
DDX3X	ENST00000399959	X	41192651	41223725
TSC1	ENST00000298552	9	135766735	135820020
SON	ENST00000356577	21	34914924	34949812
WHSC1	ENST00000382895	4	1873151	1983934
TCEB3	ENST00000418390	1	24069645	24088549
STAG1	ENST00000383202	3	136055077	136471220
ATRX	ENST00000373344	X	76760356	77041702
VCPIP1	ENST00000310421	8	67540722	67579452
EIF4A3	ENST00000269349	17	78109013	78120982
MAU2	ENST00000392313	19	19431490	19469563
PSMC2	ENST00000435765	7	102984701	103009842
DAZAP1	ENST00000233078	19	1407568	1435719
POGZ	ENST00000271715	1	151375200	151431941
PRKAR1A	ENST00000589228	17	66507921	66547460
SF3A3	ENST00000373019	1	38422647	38456593
FXR1	ENST00000357559	3	180585929	180700541
CDC42BPB	ENST00000361246	14	103398716	103523799
XPO7	ENST00000252512	8	21777180	21864096
RARB	ENST00000330688	3	25215823	25639423
RERE	ENST00000337907	1	8412457	8877702
ZMYND11	ENST00000397962	10	180405	300577
RPL4	ENST00000307961	15	66790355	66816870
SUPT16H	ENST00000216297	14	21819631	21852425
ZBTB47	ENST00000232974	3	42695176	42709072
PRRC2C	ENST00000338920	1	171454651	171562650
PPFIA3	ENST00000334186	19	49622646	49654283
ATP1A1	ENST00000537345	1	116915290	116952883
KIF11	ENST00000260731	10	94353043	94415150
NCOA2	ENST00000452400	8	71021997	71316040
HIPK1	ENST00000369558	1	114471814	114520426
KIAA0430	ENST00000396368	16	15688243	15737023
ARMCX4	ENST00000423738	X	100673275	100788446
KMT2C	ENST00000262189	7	151832010	152133090
PIK3AP1	ENST00000339364	10	98353069	98480271
SEMA4C	ENST00000305476	2	97525453	97536494
CYTH1	ENST00000361101	17	76670130	76778379
RBM17	ENST00000446108	10	6130950	6159420
RTF1	ENST00000389629	15	41700606	41775761
IPO5	ENST00000261574	13	98605912	98676551
NUP98	ENST00000324932	11	3692313	3819022
TRAF2	ENST00000247668	9	139776364	139821059
EIF4B	ENST00000262056	12	53399942	53435993
ADNP	ENST00000396029	20	49505585	49547958
RET	ENST00000355710	10	43572475	43625799
TEAD1	ENST00000361985	11	12695969	12966298
CCDC22	ENST00000376227	X	49091927	49106987
SHANK3	ENST00000262795	22	51112843	51171726
CACNA1E	ENST00000367573	1	181382238	181777219
PRMT5	ENST00000324366	14	23389720	23398794
JADE3	ENST00000218343	X	46771711	46920641
WDR5	ENST00000358625	9	137000487	137025093
CUL4A	ENST00000375440	13	113862552	113919399
PCLO	ENST00000333891	7	82383329	82792246
ZNF219	ENST00000360947	14	21558205	21572881
GAPVD1	ENST00000394105	9	128024073	128129486
EPC1	ENST00000263062	10	32556679	32667726
KCNB1	ENST00000371741	20	47980414	48099184
NLGN2	ENST00000302926	17	7308193	7323179
PCDH19	ENST00000373034	X	99546642	99665271
DDX17	ENST00000396821	22	38879445	38903665
RB1	ENST00000267163	13	48877887	49056122
WNK1	ENST00000315939	12	861759	1020618
ZC3H18	ENST00000301011	16	88636789	88698374
CDK12	ENST00000447079	17	37617764	37721160
HECTD4	ENST00000550722	12	112597992	112819896
RALGPS1	ENST00000259351	9	129677053	129985445
TNRC6C	ENST00000335749	17	76000249	76104916
SCN2A	ENST00000357398	2	166095912	166248818
SOBP	ENST00000317357	6	107811162	107981357
VCP	ENST00000358901	9	35056061	35073246
TLN1	ENST00000314888	9	35696945	35732392
BTAF1	ENST00000265990	10	93683526	93790082
EPHA7	ENST00000369303	6	93949738	94129265
COL4A1	ENST00000375820	13	110801318	110959496
SIK3	ENST00000292055	11	116714118	116969153
KAT6B	ENST00000287239	10	76585340	76792380
KAT7	ENST00000259021	17	47865917	47906458
ZFR	ENST00000265069	5	32354456	32444867
GSE1	ENST00000253458	16	85645015	85709810
GSK3A	ENST00000222330	19	42734338	42746777
L1CAM	ENST00000370060	X	153126969	153174677
CTNNB1	ENST00000349496	3	41236328	41301587
PBRM1	ENST00000394830	3	52579368	52719933
PRICKLE1	ENST00000455697	12	42852140	42984157
PUM1	ENST00000426105	1	31404353	31538838
AHCTF1	ENST00000326225	1	247002400	247095280
TNPO2	ENST00000425528	19	12810008	12834825
AAK1	ENST00000409085	2	69688532	69901481
RASA1	ENST00000274376	5	86563705	86687748
CDC5L	ENST00000371477	6	44355262	44418163
FERMT2	ENST00000343279	14	53323986	53419153
WTAP	ENST00000358372	6	160146617	160177351
UBR3	ENST00000418381	2	170683968	170940641
SCN8A	ENST00000354534	12	51984050	52206648
FNIP2	ENST00000264433	4	159690290	159829201
MSN	ENST00000360270	X	64808257	64961791
PPP1R12A	ENST00000450142	12	80167343	80329240
RANBP9	ENST00000011619	6	13621730	13711796
USP47	ENST00000339865	11	11862970	11980870
CCDC88A	ENST00000336838	2	55514978	55647057
MLLT3	ENST00000380338	9	20341663	20622542
EIF3A	ENST00000369144	10	120794356	120840316
YTHDC2	ENST00000161863	5	112849380	112930982
KSR2	ENST00000339824	12	117890817	118406788
ZMYND8	ENST00000461685	20	45837859	45985567
CCNA2	ENST00000274026	4	122737599	122745087
PTPN6	ENST00000456013	12	7055631	7070479
SCML2	ENST00000251900	X	18257434	18372847
SNRK	ENST00000296088	3	43328004	43466256
MINK1	ENST00000355280	17	4736683	4801356
IRF6	ENST00000367021	1	209959036	209979465
ZRSR2	ENST00000307771	X	15808595	15841383
RFX7	ENST00000423270	15	56379478	56535483
CSTF2	ENST00000372972	X	100075384	100095921
NR4A2	ENST00000339562	2	157180944	157198860
TULP4	ENST00000367097	6	158733692	158932860
MAP1B	ENST00000296755	5	71403061	71505395
USP42	ENST00000306177	7	6144515	6201195
ZNF592	ENST00000299927	15	85291866	85349659
NPAS2	ENST00000335681	2	101436614	101613291
ZSWIM8	ENST00000398706	10	75545340	75561551
IQSEC2	ENST00000396435	X	53262058	53350522
U2AF2	ENST00000308924	19	56165512	56186081
ITPR1	ENST00000302640	3	4535032	4889524
COL2A1	ENST00000380518	12	48366748	48398269
NPLOC4	ENST00000331134	17	79523913	79615495
MAPKAPK2	ENST00000367103	1	206858289	206907628
DDX42	ENST00000578681	17	61850963	61896677
CACNA1A	ENST00000360228	19	13317256	13734804
SUZ12	ENST00000322652	17	30264037	30328064
PHF12	ENST00000332830	17	27232268	27278789
DACH1	ENST00000305425	13	72012098	72441330
PORCN	ENST00000326194	X	48367350	48379202
CTR9	ENST00000361367	11	10772534	10801290
RBM5	ENST00000347869	3	50126341	50156454
NRBP1	ENST00000233557	2	27650657	27665126
TBX5	ENST00000310346	12	114791736	114846247
FRMD4A	ENST00000357447	10	13685706	14504141
PTPN11	ENST00000351677	12	112856155	112947717
DLGAP3	ENST00000373347	1	35331037	35395186
HIRA	ENST00000263208	22	19318221	19435224
SETD1A	ENST00000262519	16	30968615	30996437
NAA35	ENST00000361671	9	88556061	88637213
ELMSAN1	ENST00000286523	14	74181825	74256988
CACTIN	ENST00000429344	19	3610639	3626813
ARHGEF6	ENST00000250617	X	135747706	135864247
FAM120C	ENST00000375180	X	54094757	54209714
RBM6	ENST00000266022	3	49977440	50137478
KIF1A	ENST00000498729	2	241653181	241759725
MECOM	ENST00000264674	3	168801287	169381406
MBD5	ENST00000407073	2	148778580	149275805
MEIS1	ENST00000272369	2	66660584	66801001
INTS6	ENST00000311234	13	51928213	52028400
ZFHX3	ENST00000268489	16	72816784	73093597
JPH4	ENST00000397118	14	24037244	24048009
SMARCA1	ENST00000371122	X	128580480	128657477
HEATR1	ENST00000366582	1	236712305	236767804
BAI3	ENST00000370598	6	69345259	70099403
SLC12A5	ENST00000454036	20	44650356	44688784
TAF3	ENST00000344293	10	7860467	8058590
SHOC2	ENST00000369452	10	112679301	112773425
PSMC1	ENST00000261303	14	90722839	90738968
RBM22	ENST00000199814	5	150070356	150080669
NFKB1	ENST00000226574	4	103422486	103538459
AFF4	ENST00000265343	5	132211071	132299326
RB1CC1	ENST00000025008	8	53535016	53658403
SAFB	ENST00000588852	19	5623046	5668489
TRAPPC8	ENST00000283351	18	29409136	29533099
ARID4A	ENST00000355431	14	58765103	58840605
TRIO	ENST00000344204	5	14143811	14532235
YTHDF2	ENST00000373812	1	29063133	29096287
PPFIA2	ENST00000549396	12	81652045	82153332
KDM6B	ENST00000254846	17	7743222	7758114
SPTB	ENST00000389722	14	65213002	65346601
SOS1	ENST00000426016	2	39208537	39351486
BAI1	ENST00000517894	8	143530791	143626370
AMBRA1	ENST00000314845	11	46417964	46615675
UBE2O	ENST00000319380	17	74385532	74449288
ZNF292	ENST00000369577	6	87862551	87973914
BCOR	ENST00000378444	X	39909068	40036582
HDAC5	ENST00000225983	17	42154114	42201070
PODXL2	ENST00000342480	3	127348024	127391652
AFTPH	ENST00000238855	2	64751465	64820139
RANBP3	ENST00000340578	19	5916150	5978153
SPAG9	ENST00000262013	17	49039535	49198226
FNBP4	ENST00000263773	11	47738072	47788995
AGPAT3	ENST00000398063	21	45285067	45406417
RANBP2	ENST00000283195	2	109335937	109402267
TKTL1	ENST00000369915	X	153524024	153558700
ZBTB44	ENST00000525842	11	130096572	130184581
WHSC1L1	ENST00000317025	8	38127215	38239790
CNOT4	ENST00000541284	7	135046547	135194875
JAG2	ENST00000331782	14	105607318	105635161
TFCP2L1	ENST00000263707	2	121974163	122042783
MAOA	ENST00000338702	X	43515467	43606068
SAMD4B	ENST00000314471	19	39833036	39876350
CSNK1E	ENST00000396832	22	38686697	38794527
DNMT1	ENST00000359526	19	10244021	10341962
PHEX	ENST00000379374	X	22050559	22269427
ATXN2L	ENST00000395547	16	28834356	28848558
XPO4	ENST00000255305	13	21351469	21477187
ARFGEF1	ENST00000262215	8	68085747	68255912
COPS5	ENST00000357849	8	67955314	67996018
SPOP	ENST00000393331	17	47676246	47755596
CSDE1	ENST00000438362	1	115259534	115301297
API5	ENST00000531273	11	43333513	43366079
CUL1	ENST00000325222	7	148395006	148498128
DDX46	ENST00000354283	5	134094469	134190823
ZFHX4	ENST00000521891	8	77593454	77779521
GNB1	ENST00000378609	1	1716729	1822495
HOMER1	ENST00000334082	5	78668459	78810040
ZFPM2	ENST00000407775	8	106330920	106816760
AEBP2	ENST00000398864	12	19556979	19873735
NUP85	ENST00000245544	17	73201754	73231853
CBLL1	ENST00000440859	7	107384142	107402112
RNF38	ENST00000259605	9	36336393	36487545
BAZ2A	ENST00000551812	12	56989380	57030600
JAG1	ENST00000254958	20	10618332	10654694
ASXL2	ENST00000435504	2	25956622	26101385
SP3	ENST00000310015	2	174771187	174830430
SRRM1	ENST00000323848	1	24958207	24999758
MAML1	ENST00000292599	5	179159851	179223512
CCNC	ENST00000520429	6	99990256	100016849
KIF23	ENST00000260363	15	69706585	69740764
EZH2	ENST00000320356	7	148504475	148581413
RFX4	ENST00000357881	12	106976685	107156581
XRCC5	ENST00000392133	2	216972187	217071026
USP24	ENST00000294383	1	55532032	55680786
CHD3	ENST00000380358	17	7788124	7816078
HNRNPA1	ENST00000340913	12	54673977	54680872
PPP1CB	ENST00000395366	2	28974506	29025806
FLT4	ENST00000261937	5	180028506	180076624
UNC79	ENST00000256339	14	93799565	94174222
ZNF217	ENST00000371471	20	52183604	52226446
EFHC2	ENST00000420999	X	44007128	44202918
WBP11	ENST00000261167	12	14939410	14956474
ITPKB	ENST00000429204	1	226819391	226927024
CTCF	ENST00000264010	16	67596310	67673086
ATP2B2	ENST00000360273	3	10365707	10749716
MAOB	ENST00000378069	X	43625858	43741693
KLHDC3	ENST00000326974	6	42981951	42989036
PRMT1	ENST00000454376	19	50179043	50192286
TGFB2	ENST00000366929	1	218519577	218617961
DIP2C	ENST00000280886	10	320130	735683
NFIX	ENST00000397661	19	13106422	13209610
FBXL17	ENST00000542267	5	107194736	107717799
WAS	ENST00000376701	X	48534985	48549818
GCM1	ENST00000259803	6	52991762	53013627
YBX2	ENST00000007699	17	7191571	7197934
TLE4	ENST00000376552	9	82186688	82341658
SLC6A1	ENST00000287766	3	11034410	11080933
EBF3	ENST00000368648	10	131633547	131762105
MAPK8IP3	ENST00000250894	16	1756184	1820318
AHSA1	ENST00000216479	14	77924213	77935817
PAN3	ENST00000380958	13	28712643	28869475
PKN2	ENST00000370521	1	89149905	89301938
ABCD1	ENST00000218104	X	152990323	153010216
SETD1B	ENST00000267197	12	122242086	122270562
CLCN4	ENST00000380833	X	10125024	10205700
ARHGEF9	ENST00000253401	X	62854847	63005426
B4GALT5	ENST00000371711	20	48249482	48330415
MSL1	ENST00000579565	17	38278551	38293042
SERPINC1	ENST00000367698	1	173872947	173886516
KALRN	ENST00000240874	3	123798870	124445172
CASZ1	ENST00000377022	1	10696661	10856707
MARCH6	ENST00000274140	5	10353815	10440500
SFPQ	ENST00000357214	1	35641979	35658749
BCORL1	ENST00000540052	X	129115083	129192058
CMIP	ENST00000537098	16	81478775	81745367
PPRC1	ENST00000278070	10	103892787	103910082
DDX26B	ENST00000370752	X	134654584	134716435
C11orf30	ENST00000529032	11	76155967	76264069
